id,ra,dec,mag,x,y,z,rarad,decrad,con
246,0.050941,56.733298,9.73,30.437747,0.406142,46.399909,0.013336383,0.990182844,Cas
247,0.051029,8.261293,9.19,182.234803,2.434686,26.461824,0.013359382,0.144186757,Psc
248,0.051044,8.270683,8.1,109.580445,1.464448,15.930222,0.013363357,0.144350655,Psc
249,0.051615,31.870083,8.75,68.70303,0.928424,42.718014,0.013512692,0.55623788,Peg
250,0.05162,52.465128,8.14,151.917366,2.05311,197.751327,0.013514044,0.915689234,Cas
251,0.051689,-25.261114,8.65,90428.95823,1223.765627,-42674.41752,0.013532194,-0.440889613,Scl
252,0.051975,29.485979,10.3,87039.55878,1184.44022,49221.05554,0.013607123,0.514627413,Peg
253,0.052181,-24.145145,6.46,185.830563,2.53883,-83.309585,0.01366098,-0.421412286,Cet
254,0.052317,42.747908,6.73,119.201069,1.632794,110.190599,0.013696457,0.746091737,And
255,0.052977,-24.588258,7.96,83.415941,1.157011,-38.173795,0.013869277,-0.429146063,Cet
256,0.053107,54.515774,9.53,130.432066,1.813553,182.983227,0.01390326,0.951479755,Cas
257,0.053537,-31.212384,8.87,181.950812,2.550422,-110.257916,0.014016047,-0.544758866,Scl
258,0.053698,17.552268,6.59,163.524544,2.299016,51.728256,0.014058104,0.306344875,Peg
259,0.053727,48.722294,8.65,288.054151,4.051946,328.175043,0.014065681,0.85036445,Cas
260,0.054478,-55.40507,9.64,94.46145,1.347427,-136.969528,0.014262335,-0.967000902,Phe
261,0.054702,-23.615434,9.15,183.968039,2.634792,-80.440932,0.014320984,-0.412167085,Cet
262,0.055061,32.845864,9.04,152.458331,2.197913,98.435731,0.01441506,0.573268472,And
263,0.055279,4.686928,12.04,29.10489,0.421232,2.386423,0.014471892,0.081802328,
264,0.055472,38.244012,8.42,199.821307,2.902105,157.509167,0.014522488,0.667483929,And
265,0.055689,-11.945367,8.09,323.920976,4.722875,-68.536058,0.01457931,-0.208485987,Cet
266,0.055692,-64.476095,9.06,43084.18424,628.217759,-90240.55857,0.01458026,-1.125320142,Tuc
267,0.05569,-4.145757,8.09,98.25396,1.432614,-7.122563,0.014579701,-0.072357111,Psc
268,0.05612,59.078605,8.18,51380.61703,754.937233,85787.30829,0.014692124,1.031116175,Cas
269,0.056135,23.575034,8.77,297.54482,4.373065,129.853791,0.014696143,0.411461971,Peg
270,0.056667,73.174497,7.36,60.803745,0.901968,201.090342,0.014835336,1.277135896,Cep
271,0.056855,-35.965164,9.16,163.491894,2.433727,-118.64515,0.014884602,-0.627710531,Scl
272,0.057037,-26.415185,8.82,367.005786,5.480609,-182.324833,0.014932131,-0.461031954,Scl
273,0.057124,-46.830972,11.14,514.343183,7.692611,-548.374856,0.014955113,-0.817354661,Phe
274,0.057143,63.64052,6.24,338.894446,5.070187,683.988975,0.01496002,1.110736607,Cas
275,0.057174,-29.000663,9.44,147.224965,2.203837,-81.619499,0.014968212,-0.506157047,Scl
276,0.057203,20.66553,7.49,54.424217,0.815116,20.530091,0.01497581,0.360681532,Peg
277,0.057297,-36.251193,6.96,52.90964,0.79376,-38.801012,0.01500032,-0.63270267,Scl
278,0.057541,55.5509,7.94,360.260967,5.427454,525.241452,0.015064231,0.969546113,Cas
279,0.057585,62.357806,8.69,46389.58089,699.402979,88586.21575,0.015075654,1.088349031,Cas
280,0.057749,53.312689,8.15,153.174205,2.315881,205.617465,0.015118546,0.930481951,Cas
281,0.058413,55.059961,8.45,231.842877,3.545762,331.88334,0.015292506,0.960977598,Cas
282,0.058428,19.381496,7.92,571.64819,8.744921,201.125146,0.015296539,0.338270918,Peg
283,0.058475,12.356821,7.45,141.144447,2.160892,30.924749,0.015308612,0.215667203,Peg
284,0.05856,-65.827505,9.01,264.152902,4.050378,-588.59149,0.015330858,-1.148906699,Tuc
